Row Labels,Count of airwaybill_number
795001,1031
797112,500
201301,407
497001,376
192301,371
734301,350
735208,341
193101,335
190001,281
192303,281
192101,276
795004,274
734001,261
411057,259
791111,251
452001,250
181201,241
791110,233
494001,232
192231,231
421302,228
193201,228
796001,227
201102,226
800001,224
494449,222
787060,214
191111,212
411028,203
494661,194
494553,189
313001,188
400612,185
122001,185
494226,182
492001,182
210001,180
560100,179
560068,178
132001,178
732101,177
247001,177
494444,175
845101,174
834001,171
845105,170
560037,164
184101,163
248001,163
824201,161
486001,161
191201,160
700136,159
733124,159
825412,158
845106,158
411048,155
517247,153
802101,150
497335,148
822116,144
110092,141
143001,141
497229,139
226010,139
824125,138
825405,138
700135,137
273164,136
244001,136
345001,135
560076,134
497442,134
110059,134
787057,133
190003,133
841426,132
531055,132
323307,131
243001,131
146105,131
560102,130
494556,130
845455,129
841406,129
811308,128
482001,128
307026,128
841428,127
847203,126
855116,126
782460,126
844114,125
273001,125
124001,124
732201,123
202001,123
845401,122
816108,122
734003,122
495001,122
421301,122
182311,122
848114,121
221001,121
207001,121
845422,120
735204,120
231216,120
737101,119
560043,119
685565,118
271831,118
801303,117
786157,117
560103,117
842001,116
787059,116
221002,116
854202,115
531149,115
788710,114
801503,113
824143,113
843125,113
788819,113
783370,113
531024,113
411060,113
788931,112
848504,112
431001,112
276202,112
263139,112
835207,111
764045,111
560066,111
482002,111
122002,111
844121,110
560078,110
206244,110
845411,109
494669,109
496661,109
494441,108
816107,107
603103,107
250001,107
272001,107
226016,107
110085,107
785104,106
833102,106
517425,106
442605,106
334001,106
848201,105
799001,105
560049,105
147001,105
764059,104
322201,104
497226,103
494665,102
411014,102
191131,102
825406,101
782480,101
852122,101
784161,101
765022,101
825322,100
742101,100
785601,99
733134,99
733202,99
723143,99
787055,98
805131,98
835210,98
342001,98
363642,98
243638,98
847452,97
852127,97
788724,97
855113,97
671314,97
311001,97
211002,97
816109,96
737102,96
201014,96
847403,95
854204,95
784176,95
517424,95
475661,95
206242,95
803202,94
851129,94
835204,94
751012,94
221005,94
804401,93
841503,93
534315,93
532312,93
151001,93
766104,92
757001,92
410206,92
275101,92
226003,92
221503,92
190002,92
181206,92
841425,91
802301,91
825301,91
841437,91
560064,91
305001,91
201001,91
845453,90
826001,90
741165,90
493558,90
395006,90
344001,90
327001,90
182301,90
132103,90
847402,89
785612,89
764047,89
824211,89
845438,89
306401,89
284204,89
209502,89
143505,89
852101,88
811202,88
494111,88
494450,88
452010,88
395010,88
274406,88
227809,88
110037,88
841219,87
835227,87
500072,87
484774,87
413102,87
274305,87
335512,87
184142,87
523357,86
431136,86
201010,86
221508,86
221010,86
146113,85
231223,85
813203,84
854317,84
422605,84
212301,84
206243,84
764051,83
824206,83
462001,83
481880,83
262201,83
262406,83
274407,83
788161,82
785105,82
791113,82
848203,82
496118,82
400072,82
411033,82
395007,82
848202,81
767018,81
845103,81
805110,81
803110,81
767001,81
803302,81
802203,81
843331,81
685619,81
517325,81
491445,81
444906,81
400059,81
460449,81
301001,81
247667,81
144411,81
207242,81
785705,80
768036,80
841438,80
271604,80
184102,80
140301,80
765015,79
782441,79
847304,79
521235,79
491881,79
496113,79
396445,79
304502,79
271303,79
206122,79
786174,78
814101,78
825320,78
754103,78
751024,78
743263,78
402401,78
314025,78
322001,78
274202,78
110019,78
851217,77
845424,77
822114,77
800014,77
761017,77
400053,77
425001,77
307022,77
182101,77
131001,77
210427,77
212107,77
201306,77
765020,76
766014,76
829202,76
813101,76
848125,76
721121,76
734004,76
493889,76
500032,76
481001,76
400064,76
261303,76
201308,76
825409,75
834002,75
841231,75
766027,75
811307,75
733121,75
560035,75
495671,75
401107,75
457001,75
411046,75
332301,75
226001,75
229001,75
207247,75
851111,74
815351,74
784509,74
736101,74
741152,74
600100,74
412115,74
442504,74
344704,74
262701,74
224001,74
152123,74
146001,74
231219,74
212303,74
221505,74
801302,73
804408,73
767017,73
841226,73
712306,73
723101,73
761200,73
464228,73
273162,73
323001,73
191202,73
208001,73
825408,72
824303,72
855102,72
852128,72
853203,72
800020,72
821115,72
700156,72
560016,72
534462,72
497235,72
485775,72
304022,72
261001,72
243635,72
122018,72
231210,72
212207,72
212655,72
743373,71
736131,71
497449,71
481111,71
141001,71
212108,71
110034,71
232103,71
226021,71
854325,70
802165,70
852201,70
803115,70
843302,70
822115,70
813106,70
734006,70
531111,70
507114,70
476001,70
392110,70
281001,70
782125,69
832101,69
764074,69
835223,69
783371,69
823001,69
464001,69
400067,69
401208,69
401606,69
250002,69
271855,69
273201,69
229301,69
123401,69
230135,69
242001,69
815352,68
785106,68
791109,68
803108,68
824203,68
743312,68
474001,68
496331,68
305901,68
271801,68
274204,68
343041,68
228145,68
201304,68
190018,68
211003,68
230204,68
190015,68
226012,68
847408,67
852137,67
822126,67
801110,67
814146,67
685561,67
497111,67
486889,67
506101,67
400101,67
391165,67
389151,67
231304,67
226022,67
125001,67
241001,67
782447,66
841245,66
848501,66
801102,66
847225,66
812001,66
813104,66
721253,66
731204,66
531081,66
517501,66
522503,66
413521,66
421601,66
274302,66
305624,66
302012,66
121001,66
221603,66
231211,66
786623,65
781126,65
766105,65
814133,65
825312,65
757034,65
560032,65
504299,65
491226,65
495689,65
509375,65
442201,65
307501,65
246722,65
787034,64
766015,64
841301,64
784165,64
805125,64
825106,64
754225,64
743349,64
560048,64
500081,64
473551,64
505301,64
485001,64
424101,64
441911,64
324005,64
201005,64
788030,63
785611,63
768028,63
764056,63
811303,63
781127,63
783334,63
753001,63
741163,63
636810,63
563101,63
509102,63
496001,63
500008,63
400706,63
458441,63
342306,63
311404,63
231305,63
212507,63
226020,63
190023,63
814165,62
841435,62
824120,62
833201,62
786125,62
835218,62
848213,62
782105,62
800002,62
852139,62
743370,62
497333,62
500049,62
401303,62
421201,62
442705,62
411037,62
271302,62
263153,62
272153,62
285001,62
335001,62
180001,62
121004,62
110075,62
852220,61
824111,61
782448,61
852131,61
786001,61
758001,61
713101,61
756001,61
759016,61
736167,61
673592,61
470661,61
507123,61
501359,61
481776,61
500084,61
400097,61
401202,61
410210,61
394650,61
411041,61
271001,61
272002,61
311602,61
342603,61
273408,61
273403,61
121002,61
190006,61
190011,61
212201,61
126102,61
212306,61
803213,60
782461,60
847401,60
802218,60
743347,60
759019,60
751003,60
723121,60
752019,60
533288,60
534447,60
504304,60
494776,60
486771,60
523327,60
507117,60
395004,60
335804,60
312605,60
274802,60
282001,60
274404,60
245304,60
244901,60
110009,60
243633,60
783124,59
785602,59
766107,59
765013,59
824208,59
812002,59
754224,59
735101,59
735304,59
734101,59
571440,59
493551,59
391135,59
392150,59
441209,59
441602,59
276001,59
332001,59
313027,59
380015,59
223221,59
110018,59
201009,59
184144,59
832301,58
784179,58
782481,58
800023,58
756100,58
721424,58
685509,58
573201,58
560067,58
497116,58
502286,58
493663,58
494228,58
496220,58
500018,58
413512,58
271845,58
190010,58
140603,58
126112,58
847228,57
852129,57
848101,57
812005,57
762001,57
841243,57
824202,57
822122,57
786151,57
855101,57
843324,57
813208,57
784001,57
736121,57
742159,57
723202,57
581359,57
571235,57
497339,57
462022,57
495445,57
507136,57
461228,57
411021,57
441802,57
442703,57
283104,57
301405,57
305404,57
122104,57
835221,56
813202,56
782411,56
783131,56
722101,56
560079,56
600119,56
533429,56
560091,56
523230,56
458001,56
455336,56
312601,56
370150,56
274509,56
301019,56
251001,56
230001,56
225305,56
222002,56
230139,56
222143,56
247554,56
786103,55
825311,55
816106,55
853204,55
784164,55
821307,55
854104,55
822101,55
721657,55
741302,55
733142,55
733132,55
685533,55
685551,55
600097,55
560045,55
495674,55
453001,55
276204,55
331507,55
221007,55
145001,55
212305,55
121102,55
212217,55
784160,54
813102,54
813221,54
843320,54
784145,54
847108,54
835225,54
782127,54
782126,54
822111,54
847404,54
761121,54
743235,54
721631,54
534460,54
531151,54
477001,54
504201,54
505504,54
485334,54
458888,54
400050,54
273413,54
342008,54
303108,54
321611,54
122108,54
242401,54
854113,53
801505,53
832110,53
782410,53
841504,53
787061,53
785001,53
848204,53
845458,53
843316,53
844113,53
854301,53
766012,53
855107,53
734014,53
533286,53
600041,53
534112,53
560058,53
507133,53
493773,53
497220,53
500090,53
472442,53
411015,53
